"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price"
"162","0%",TRUE,"Entire rental unit","within a day",24,4.68,181,4.59,4.59,1.5,1362
"163","99%",TRUE,"Entire rental unit","within an hour",34,4.7,332,4.61,4.73,1,594
"164","N/A",TRUE,"Entire home","within a few hours",12,4.17,332,4.42,4.42,1,549
"165","100%",TRUE,"Entire loft","within an hour",91,4.89,11,4.9,4.94,2,1109
"166","91%",TRUE,"Private room in home","within a day",2,4.5,0,5,5,1,220
"167","100%",TRUE,"Private room in serviced apartment","within an hour",200,4.99,179,4.96,4.98,1,750
"168","81%",TRUE,"Entire condo","within a few hours",1,5,250,5,5,1.5,4938
"169","81%",TRUE,"Entire condo","within a few hours",1,5,238,3,4,1.5,3731
"170","100%",TRUE,"Entire rental unit","N/A",66,4.73,88,4.76,4.83,1,914
"171","81%",TRUE,"Entire condo","within a few hours",4,5,251,5,5,2.5,5809
"172","100%",TRUE,"Entire rental unit","within an hour",191,4.63,358,4.73,4.72,1,1362
"173","99%",TRUE,"Entire rental unit","within an hour",238,4.89,159,4.96,4.82,1.5,1232
"174","91%",TRUE,"Private room in home","within a day",16,4.94,0,5,4.75,1,246
"175","0%",FALSE,"Shared room in rental unit","N/A",0,4.75,365,4.83,4.71,1,1815
"176","100%",TRUE,"Private room in guest suite","within a few hours",53,4.92,172,4.98,4.89,1,349
"177","100%",TRUE,"Entire rental unit","within an hour",285,4.83,325,4.94,4.76,1,1989
"178","N/A",TRUE,"Private room in condo","N/A",3,5,365,4.67,4.67,1,549
"179","93%",TRUE,"Entire rental unit","within an hour",119,4.85,75,4.6,4.82,1,980
"180","64%",TRUE,"Entire rental unit","within an hour",54,4.92,350,4.96,4.88,2,800
"181","98%",TRUE,"Entire rental unit","within an hour",316,4.89,153,4.9,4.84,1,1943
"182","0%",TRUE,"Entire home","within a day",22,4.91,332,5,4.95,2.5,5999
