"","host_acceptance_rate","host_identity_verified","property_type","host_response_time","number_of_reviews","review_scores_cleanliness","availability_365","review_scores_location","review_scores_value","bathrooms_text","price"
"18240","99%",TRUE,"Entire condo","within an hour",25,4.84,169,4.56,4.68,2.5,2808
"18241","100%",TRUE,"Private room in rental unit","within a few hours",0,4.75,149,4.83,4.71,1,945
"18242","71%",TRUE,"Private room in casa particular","within a day",0,4.75,365,4.83,4.71,1,450
"18243","99%",TRUE,"Entire condo","within an hour",8,4.75,355,4.88,4.88,1,2511
"18244","100%",TRUE,"Entire rental unit","within an hour",43,4.91,358,4.63,4.72,1,971
"18245","100%",TRUE,"Private room in vacation home","within an hour",0,4.75,364,4.83,4.71,1,369
"18246","55%",TRUE,"Entire condo","within a day",2,5,164,4.5,5,1,2015
"18247","99%",TRUE,"Entire home","within an hour",5,4.4,327,5,4.4,4.5,6500
"18248","100%",TRUE,"Private room in guest suite","within an hour",3,4.67,355,4.67,4.67,1,350
"18249","97%",TRUE,"Entire condo","within an hour",19,4.89,337,4.84,4.74,1,780
"18250","100%",TRUE,"Private room in home","within an hour",5,4.2,273,5,4.8,1,629
"18251","98%",TRUE,"Entire rental unit","within an hour",16,4.63,351,4.75,4.5,1,762
"18252","97%",TRUE,"Entire home","within an hour",24,4.96,319,4.92,4.96,3.5,2207
"18253","99%",TRUE,"Entire rental unit","within an hour",14,5,323,4.93,4.86,1,1449
"18254","97%",TRUE,"Entire rental unit","within an hour",0,4.75,333,4.83,4.71,2,1453
"18255","100%",TRUE,"Private room in rental unit","within a few hours",0,4.75,284,4.83,4.71,1,945
"18256","67%",TRUE,"Private room in home","within a few hours",1,5,365,5,5,1.5,520
"18257","100%",TRUE,"Private room in rental unit","within an hour",13,4.31,260,4.62,4.77,1,510
"18258","100%",TRUE,"Entire condo","within an hour",6,4.83,343,4.83,4.67,1,1243
"18259","100%",TRUE,"Entire loft","within an hour",8,4.75,365,4.75,4.75,1,590
"18260","99%",TRUE,"Entire rental unit","within an hour",14,4.93,291,4.93,4.79,1,2214
"18261","100%",TRUE,"Entire loft","within an hour",10,4.4,364,4.6,4.2,1,499
"18262","100%",TRUE,"Private room in townhouse","within an hour",17,4.35,357,4.65,4.41,1,369
"18263","99%",TRUE,"Room in aparthotel","within an hour",1,5,365,5,5,1,2255
"18264","99%",TRUE,"Entire condo","within an hour",10,4.89,359,4.9,4.9,1,1930
"18265","99%",TRUE,"Entire condo","within an hour",7,4.86,333,4.86,4.71,1,2412
"18266","97%",TRUE,"Entire condo","within an hour",29,4.9,154,4.93,4.79,1,2100
"18267","100%",TRUE,"Entire vacation home","within an hour",8,4.75,0,5,4.88,2,1547
"18268","99%",TRUE,"Entire condo","within an hour",14,4.93,167,4.93,4.71,1,2012
"18269","100%",TRUE,"Private room in vacation home","within an hour",7,4.71,355,4.86,4.71,1,369
"18270","100%",FALSE,"Entire rental unit","N/A",1,1,365,1,1,1.5,3500
"18271","99%",TRUE,"Private room in loft","within an hour",9,5,360,4.89,5,1,735
"18272","100%",TRUE,"Entire condo","within an hour",24,4.71,69,4.79,4.75,2,714
"18273","100%",TRUE,"Shared room in serviced apartment","within a day",0,4.75,301,4.83,4.71,1,716
"18274","100%",TRUE,"Entire condo","within an hour",9,5,165,5,5,2,1117
"18275","77%",TRUE,"Entire rental unit","within an hour",4,4.75,361,5,4.5,1,1386
"18276","99%",TRUE,"Entire rental unit","within an hour",12,4,323,4.92,4.08,3,2000
"18277","100%",FALSE,"Entire rental unit","within an hour",1,5,11,5,5,1,1800
"18278","99%",TRUE,"Room in aparthotel","within an hour",7,5,362,5,4.86,1,2255
"18279","100%",TRUE,"Entire rental unit","within an hour",18,4.89,174,4.89,4.5,1,950
"18280","99%",TRUE,"Private room in casa particular","within an hour",2,5,87,5,5,1,225
"18281","99%",TRUE,"Room in aparthotel","within an hour",5,5,364,5,4.8,1,2223
"18282","99%",TRUE,"Room in aparthotel","within an hour",1,5,365,5,5,1,2223
"18283","99%",TRUE,"Entire rental unit","within an hour",3,5,188,5,5,2,1800
"18284","97%",TRUE,"Entire serviced apartment","within an hour",19,4.68,54,4.89,4.58,2,1333
"18285","93%",FALSE,"Private room in vacation home","within an hour",4,4.75,365,5,4.75,1,369
"18286","100%",TRUE,"Entire serviced apartment","within an hour",9,4.89,239,5,4.89,2,1286
"18287","99%",TRUE,"Entire condo","within an hour",4,3.75,168,3.75,3.5,1.5,926
"18288","100%",TRUE,"Entire rental unit","within an hour",47,4.89,362,4.94,4.85,2,2483
"18289","99%",TRUE,"Entire condo","within an hour",21,4.52,180,4.67,4.52,1.5,1079
"18290","100%",TRUE,"Entire rental unit","within an hour",20,4.9,318,4.95,4.85,2,1760
"18291","80%",TRUE,"Entire condo","within a few hours",2,4.5,56,5,4.5,2,833
"18292","99%",TRUE,"Entire condo","within an hour",9,4.33,158,4.44,4.56,1.5,1452
"18293","100%",TRUE,"Entire condo","within an hour",16,5,270,5,5,2,1704
"18294","99%",TRUE,"Entire serviced apartment","within an hour",38,4.76,308,4.95,4.82,1,685
"18295","99%",TRUE,"Entire condo","within an hour",6,4.83,180,5,4.83,1.5,1434
"18296","100%",FALSE,"Private room in rental unit","within an hour",16,5,29,5,4.94,1,380
"18297","100%",TRUE,"Entire condo","within an hour",25,4.76,265,5,4.92,2,3680
"18298","92%",TRUE,"Entire rental unit","within an hour",1,5,146,4,4,1,817
"18299","34%",TRUE,"Entire serviced apartment","within a day",0,4.75,365,4.83,4.71,1,3495
"18300","99%",TRUE,"Entire condo","within an hour",16,4.88,167,4.94,4.56,1.5,1452
"18301","93%",FALSE,"Private room in vacation home","within an hour",14,4.21,365,4.57,4,1,369
"18302","99%",TRUE,"Entire condo","within an hour",12,5,316,4.92,4.83,2,1850
"18303","99%",TRUE,"Entire condo","within an hour",11,4.18,179,4.45,4.27,1.5,1331
"18304","100%",TRUE,"Entire condo","within a few hours",7,4.86,19,4.86,4.86,2,1646
"18305","99%",TRUE,"Private room in condo","within an hour",20,4.7,365,4.9,4.75,1,580
"18306","99%",TRUE,"Entire condo","within an hour",30,4.93,39,5,4.93,2,2679
"18307","99%",TRUE,"Entire loft","within an hour",22,4.73,313,3.59,4.18,1,460
"18308","100%",TRUE,"Entire loft","within an hour",111,4.97,155,4.88,4.95,1,600
"18309","93%",FALSE,"Private room in vacation home","within an hour",7,4.29,357,5,4.71,1,369
"18310","97%",TRUE,"Entire rental unit","within an hour",11,4.91,180,4.82,4.64,2,4379
"18311","87%",TRUE,"Entire condo","within a few hours",7,5,247,5,5,1,1594
"18312","97%",TRUE,"Entire condo","within an hour",3,4.33,161,5,5,2.5,1798
"18313","100%",TRUE,"Private room in cottage","within an hour",0,4.75,269,4.83,4.71,1,487
"18314","100%",TRUE,"Entire loft","within an hour",13,4.92,86,5,4.85,1,970
"18315","99%",TRUE,"Entire loft","within an hour",10,4.8,238,5,4.6,1,526
"18316","97%",TRUE,"Entire rental unit","within an hour",10,4.9,180,5,4.7,3,5814
"18317","99%",TRUE,"Entire condo","within an hour",4,5,180,4.75,4.75,1.5,1543
"18318","96%",TRUE,"Entire loft","within an hour",4,5,293,5,5,1,735
"18319","100%",TRUE,"Entire condo","within an hour",15,4.73,349,4.93,4.93,2,2844
"18320","96%",TRUE,"Private room in rental unit","within an hour",12,4.5,358,4.75,4.75,1,683
"18321","97%",FALSE,"Private room in rental unit","within an hour",18,4.83,361,5,4.78,1,650
"18322","100%",FALSE,"Private room in vacation home","within an hour",2,4,363,4.5,4.5,1,369
"18323","100%",TRUE,"Entire home","within an hour",21,4.95,255,4.95,4.81,4.5,5228
"18324","100%",TRUE,"Entire rental unit","within an hour",3,5,356,5,4.67,1,1500
"18325","100%",TRUE,"Entire serviced apartment","within a day",3,3.67,272,5,3.33,1,237
"18326","86%",TRUE,"Private room in rental unit","within an hour",17,4.88,358,4.59,4.94,1,317
"18327","47%",TRUE,"Entire condo","within a day",4,4,271,5,5,1,878
"18328","98%",FALSE,"Private room in vacation home","within an hour",18,4.44,356,4.61,4.56,1,369
"18329","100%",TRUE,"Entire loft","within an hour",75,4.93,147,4.85,4.95,1,570
"18330","99%",TRUE,"Entire rental unit","within an hour",2,5,0,5,5,1,1129
"18331","100%",FALSE,"Room in hotel","N/A",0,4.75,82,4.83,4.71,1,950
"18332","100%",TRUE,"Entire loft","within an hour",60,4.92,162,4.88,4.93,1,509
"18333","98%",FALSE,"Private room in vacation home","within an hour",36,4.44,355,4.86,4.36,1,369
"18334","100%",FALSE,"Room in boutique hotel","N/A",3,4,82,5,4,1,880
"18335","100%",TRUE,"Private room in guesthouse","within an hour",11,4.73,342,4.55,4.73,3,205
"18336","100%",FALSE,"Room in boutique hotel","N/A",0,4.75,82,4.83,4.71,1,880
"18337","100%",TRUE,"Entire rental unit","within an hour",17,5,322,5,5,2,3692
"18338","99%",TRUE,"Private room in loft","within an hour",11,5,365,4.73,4.91,1,550
"18339","100%",TRUE,"Private room in home","within an hour",63,4.98,335,4.92,4.87,1,419
"18340","100%",TRUE,"Entire condo","within an hour",8,5,328,4.88,4.88,1,1271
"18341","98%",FALSE,"Private room in vacation home","within an hour",8,4.25,361,4.75,4.5,1,369
"18342","N/A",TRUE,"Private room in condo","N/A",0,4.75,89,4.83,4.71,1,750
"18343","92%",TRUE,"Entire loft","within an hour",2,5,189,5,5,1,1682
"18344","100%",TRUE,"Entire rental unit","within an hour",23,4.78,331,5,5,3.5,7154
"18345","66%",TRUE,"Entire rental unit","within an hour",7,5,339,4.86,4.71,4,585
"18346","96%",TRUE,"Entire loft","within an hour",4,4.5,365,4.25,4.25,1,500
"18347","91%",TRUE,"Private room in condo","within an hour",7,5,330,4.86,4.86,1,1180
"18348","98%",TRUE,"Entire loft","within an hour",3,5,45,5,4.33,1,693
"18349","100%",TRUE,"Entire loft","within an hour",51,4.9,170,4.96,4.8,1,956
"18350","100%",TRUE,"Entire condo","within an hour",48,4.83,330,4.88,4.9,1,1431
"18351","90%",TRUE,"Private room in home","within an hour",0,4.75,45,4.83,4.71,1,300
"18352","64%",TRUE,"Private room in rental unit","within an hour",8,4.88,360,4.88,4.5,1,593
"18353","97%",TRUE,"Private room in rental unit","within an hour",7,4.43,355,4.86,5,1,434
"18354","99%",TRUE,"Entire serviced apartment","within an hour",33,4.97,308,4.94,4.88,2,560
"18355","95%",TRUE,"Entire rental unit","within an hour",9,5,256,5,4.78,1,1136
"18356","100%",TRUE,"Entire condo","within an hour",15,4.93,360,5,4.8,2,2122
"18357","100%",TRUE,"Entire condo","within an hour",22,4.68,354,4.91,4.68,1,800
"18358","97%",TRUE,"Private room in vacation home","within an hour",4,4.75,362,4.75,4.75,1,369
"18359","100%",TRUE,"Entire condo","within an hour",17,4.94,88,4.94,4.82,2,1321
"18360","99%",TRUE,"Entire serviced apartment","within an hour",36,4.89,302,4.81,4.89,2,546
"18361","100%",TRUE,"Private room in rental unit","N/A",1,5,333,5,5,1,600
"18362","98%",FALSE,"Private room in vacation home","within an hour",1,5,358,3,4,1,369
"18363","100%",TRUE,"Entire loft","within an hour",39,4.9,83,4.9,4.9,1,916
"18364","100%",TRUE,"Entire loft","within an hour",40,4.9,80,4.88,4.83,1,887
"18365","100%",TRUE,"Entire condo","within a day",0,4.75,332,4.83,4.71,1,550
"18366","100%",TRUE,"Private room in rental unit","within an hour",6,4.17,3,4.5,4.17,1,198
"18367","99%",TRUE,"Private room in rental unit","within an hour",2,3.5,360,3.5,4,1,750
"18368","100%",TRUE,"Entire home","within an hour",3,5,265,4.67,5,2.5,1100
"18369","99%",TRUE,"Entire rental unit","within an hour",8,5,0,4.88,4.38,2,1535
"18370","100%",TRUE,"Entire serviced apartment","within an hour",22,4.91,239,5,4.86,2,4200
"18371","99%",TRUE,"Entire serviced apartment","within an hour",0,4.75,216,4.83,4.71,1,3050
"18372","99%",TRUE,"Entire rental unit","within an hour",1,1,356,4,1,5,3500
"18373","99%",TRUE,"Entire villa","within an hour",8,5,344,5,4.88,4.5,12822
"18374","83%",TRUE,"Entire loft","within a few hours",1,4,0,5,1,1,900
"18375","100%",TRUE,"Entire loft","within an hour",16,4.75,337,4.81,4.5,1,950
"18376","99%",TRUE,"Entire condo","within an hour",4,4.75,49,4.5,4.5,3,2840
"18377","100%",TRUE,"Entire rental unit","within an hour",34,4.68,365,4.68,4.53,1,873
"18378","98%",TRUE,"Entire rental unit","within an hour",37,4.59,358,4.97,4.46,1,779
"18379","N/A",TRUE,"Entire place","a few days or more",0,4.75,365,4.83,4.71,1,700
"18380","100%",FALSE,"Private room in bed and breakfast","within an hour",12,4.92,332,5,4.92,1,650
"18381","N/A",FALSE,"Entire serviced apartment","N/A",0,4.75,177,4.83,4.71,3,16339
"18382","94%",FALSE,"Entire serviced apartment","within an hour",5,3.6,357,4.8,4,1,1208
"18383","100%",TRUE,"Private room in rental unit","within an hour",18,4.83,26,4.89,4.94,1,199
"18384","100%",TRUE,"Entire rental unit","N/A",1,5,147,5,5,2,698
"18385","100%",TRUE,"Entire loft","within an hour",4,4.75,318,5,5,1,950
"18386","100%",TRUE,"Private room in serviced apartment","within a few hours",4,4.75,363,5,4.75,1,799
"18387","100%",TRUE,"Entire condo","within an hour",23,4.7,322,4.74,4.52,2,983
"18388","99%",TRUE,"Entire serviced apartment","within an hour",4,5,233,5,4.75,2,3829
"18389","99%",TRUE,"Entire serviced apartment","within an hour",41,4.98,238,4.98,4.78,3,4131
"18390","99%",TRUE,"Entire serviced apartment","within an hour",20,5,238,5,4.95,2,3735
"18391","100%",TRUE,"Entire rental unit","within an hour",4,4.5,357,4.75,4.5,1,1686
"18392","100%",TRUE,"Entire condo","within an hour",16,4.75,167,4.81,4.63,2,1860
"18393","99%",TRUE,"Entire rental unit","within an hour",34,4.85,64,4.79,4.47,2,1450
"18394","100%",TRUE,"Private room in vacation home","within an hour",0,4.75,365,4.83,4.71,1,1749
"18395","100%",TRUE,"Entire condo","within an hour",16,4.88,328,4.81,4.75,1,1279
"18396","99%",TRUE,"Entire serviced apartment","within an hour",1,4,239,5,4,1,3050
"18397","93%",FALSE,"Private room in vacation home","within an hour",2,4.5,365,3,4,1,971
"18398","99%",TRUE,"Private room in guest suite","within an hour",8,4.88,354,5,5,1,680
"18399","99%",TRUE,"Entire serviced apartment","within an hour",4,5,245,5,4.75,2,4427
"18400","100%",TRUE,"Entire rental unit","within an hour",16,4.75,86,4.94,4.56,2,771
"18401","100%",TRUE,"Private room in guesthouse","within an hour",11,4.82,364,4.64,4.36,1,559
"18402","N/A",TRUE,"Private room in rental unit","N/A",0,4.75,365,4.83,4.71,1,4800
"18403","100%",TRUE,"Entire home","within an hour",15,4.87,364,4.87,4.87,4.5,4539
"18404","82%",TRUE,"Entire condo","within a few hours",1,5,365,5,4,1.5,749
"18405","98%",TRUE,"Entire rental unit","within an hour",45,4.91,186,4.93,4.91,2,1731
"18406","100%",FALSE,"Private room in vacation home","within an hour",2,1,365,3,1.5,1,1749
"18407","99%",TRUE,"Entire serviced apartment","within an hour",6,5,205,5,5,2,4304
"18408","100%",TRUE,"Shipping container","within an hour",37,4.78,362,4.78,4.65,1,444
"18409","100%",TRUE,"Private room in casa particular","within an hour",8,4.75,347,5,4.63,1,300
"18410","100%",TRUE,"Private room in rental unit","within an hour",14,4.71,345,4.93,4.93,1,699
"18411","100%",TRUE,"Entire rental unit","within a day",0,4.75,365,4.83,4.71,3,10045
"18412","97%",TRUE,"Private room in vacation home","within an hour",6,4.83,360,5,4.83,1,369
"18413","86%",TRUE,"Private room in condo","within an hour",19,4.89,34,5,4.84,1,443
"18414","36%",TRUE,"Entire rental unit","a few days or more",1,4,357,5,5,1.5,1500
"18415","100%",TRUE,"Entire condo","within an hour",9,4.89,357,4.67,4.44,2,760
"18416","97%",TRUE,"Private room in vacation home","within an hour",8,4.88,365,5,4.75,1,369
"18417","100%",FALSE,"Private room in guest suite","within an hour",1,5,362,5,4,1,750
"18418","99%",TRUE,"Entire serviced apartment","within an hour",4,5,226,5,5,1,3920
"18419","97%",TRUE,"Private room in vacation home","within an hour",5,3.6,362,5,4.4,1,369
"18420","100%",TRUE,"Casa particular","within an hour",14,4.36,360,4.57,4.21,2,780
"18421","99%",TRUE,"Entire home","within an hour",0,4.75,238,4.83,4.71,2.5,10802
"18422","97%",TRUE,"Private room in vacation home","within an hour",0,4.75,365,4.83,4.71,1,3109
"18423","100%",FALSE,"Entire loft","within an hour",31,5,345,4.84,4.9,1,986
"18424","92%",TRUE,"Room in boutique hotel","within an hour",8,4.63,363,4.88,4.25,1,400
"18425","99%",TRUE,"Room in hotel","within an hour",25,4.92,362,4.96,4.92,1,1200
"18426","100%",TRUE,"Private room in home","within an hour",18,4.5,83,4.94,4.67,1,570
"18427","94%",FALSE,"Entire condo","within a few hours",12,4.83,313,5,4.92,1,1700
"18428","67%",FALSE,"Private room in rental unit","N/A",1,4,302,5,5,1,350
"18429","100%",TRUE,"Entire condo","N/A",1,5,89,5,5,1.5,957
"18430","100%",TRUE,"Private room in home","within an hour",17,4.82,76,4.82,4.76,3,780
"18431","97%",TRUE,"Entire serviced apartment","within an hour",3,5,59,5,5,2,3034
"18432","99%",TRUE,"Room in boutique hotel","within an hour",11,4.73,364,5,5,1,1100
"18433","97%",TRUE,"Entire serviced apartment","within an hour",3,5,56,5,5,1,1438
"18434","99%",TRUE,"Entire condo","within an hour",10,5,350,4.9,5,1.5,1248
"18435","99%",TRUE,"Room in hotel","within an hour",11,4.73,363,5,5,1,1200
"18436","100%",TRUE,"Private room in rental unit","within an hour",67,4.58,70,4.91,4.72,1,450
"18437","97%",TRUE,"Entire serviced apartment","within an hour",2,5,53,5,5,2,2259
"18438","98%",TRUE,"Entire place","within an hour",22,4.77,160,4.5,4.68,1.5,1521
"18439","98%",TRUE,"Entire rental unit","within an hour",9,4.44,268,4.89,4.33,2.5,1750
"18440","99%",TRUE,"Entire condo","within an hour",36,4.92,72,4.97,4.86,1,1179
"18441","98%",TRUE,"Private room in rental unit","within an hour",1,4,89,5,3,1,242
"18442","100%",TRUE,"Entire condo","N/A",2,5,117,5,5,1,750
"18443","100%",TRUE,"Entire loft","within an hour",30,4.93,118,4.77,4.93,1.5,1587
"18444","99%",TRUE,"Private room in rental unit","within an hour",5,3.2,360,4.8,3.8,1,450
"18445","100%",TRUE,"Entire condo","within an hour",12,4.92,3,4.92,4.92,1,3034
"18446","100%",TRUE,"Private room in home","within an hour",40,4.95,86,5,4.88,1,750
"18447","100%",TRUE,"Shared room in home","within an hour",14,4.93,89,4.93,4.5,1,297
"18448","98%",TRUE,"Entire condo","within an hour",38,4.5,334,4.79,4.87,1,317
"18449","100%",TRUE,"Entire home","within a few hours",1,5,171,5,5,4,4300
"18450","100%",TRUE,"Entire rental unit","N/A",1,3,89,3,1,1,1350
"18451","97%",TRUE,"Private room in condo","within an hour",10,4,358,4.9,4.7,1,390
"18452","99%",TRUE,"Entire condo","within an hour",37,4.81,326,4.59,4.84,1.5,710
"18453","99%",TRUE,"Private room in rental unit","within an hour",7,4,360,4.57,4.57,1,450
"18454","99%",TRUE,"Private room in rental unit","within an hour",16,4.38,351,4.81,4.56,1,500
"18455","100%",TRUE,"Entire rental unit","within an hour",36,4.92,359,4.97,4.86,2,3156
"18456","100%",TRUE,"Entire condo","within an hour",13,4.85,347,4.69,4.92,1,1100
"18457","93%",TRUE,"Entire rental unit","within an hour",13,5,144,4.85,5,1,1000
"18458","88%",TRUE,"Entire rental unit","within an hour",2,3.5,301,5,3.5,2.5,2500
"18459","100%",TRUE,"Entire rental unit","within an hour",46,4.93,365,4.87,4.8,1,1712
"18460","99%",TRUE,"Entire rental unit","within an hour",16,3.25,355,4.94,3.81,2,2393
"18461","N/A",TRUE,"Private room in rental unit","within a few hours",0,4.75,356,4.83,4.71,1,2264
"18462","N/A",TRUE,"Private room in rental unit","N/A",0,4.75,358,4.83,4.71,1.5,400
"18463","100%",TRUE,"Entire condo","within an hour",12,5,81,4.75,5,2,1937
"18464","100%",TRUE,"Room in boutique hotel","within an hour",27,4.96,360,4.81,4.93,1,1158
"18465","99%",TRUE,"Entire condo","within an hour",15,4.87,35,4.87,5,1,1121
"18466","100%",TRUE,"Entire loft","within an hour",1,4,344,5,4,1,1463
"18467","N/A",TRUE,"Private room in rental unit","within a few hours",0,4.75,341,4.83,4.71,1,2264
"18468","N/A",TRUE,"Private room in rental unit","within a few hours",0,4.75,350,4.83,4.71,1,2501
"18469","N/A",TRUE,"Private room in rental unit","within a few hours",0,4.75,349,4.83,4.71,1,3474
"18470","100%",TRUE,"Private room in rental unit","within an hour",10,4.7,348,4.6,4.9,1,476
"18471","N/A",TRUE,"Private room in rental unit","within a few hours",0,4.75,358,4.83,4.71,1,3753
"18472","100%",TRUE,"Entire rental unit","N/A",2,5,0,5,5,2,1200
"18473","100%",TRUE,"Entire rental unit","N/A",2,4.5,332,5,4,2,2495
"18474","99%",TRUE,"Entire rental unit","within an hour",27,4.19,353,4.19,4.26,1,553
"18475","99%",TRUE,"Entire condo","within an hour",18,4.94,67,5,5,2,2814
"18476","100%",TRUE,"Entire serviced apartment","within an hour",4,4.5,353,5,4.25,2,1643
"18477","100%",TRUE,"Entire rental unit","within an hour",39,4.92,353,5,4.92,1,2941
"18478","100%",TRUE,"Entire rental unit","within an hour",2,5,0,5,5,1,1883
"18479","99%",TRUE,"Entire rental unit","within an hour",9,3.89,351,5,4,2,2500
"18480","99%",TRUE,"Entire home","within an hour",12,5,333,5,5,3.5,11850
"18481","99%",TRUE,"Entire condo","within an hour",9,4.78,339,4.89,4.78,4.5,7729
"18482","100%",TRUE,"Private room in rental unit","within an hour",5,4.2,336,5,4.8,1,457
"18483","N/A",TRUE,"Entire condo","N/A",7,4,347,4.43,4,1,890
"18484","100%",TRUE,"Entire rental unit","within an hour",1,5,90,5,5,1,1700
"18485","99%",TRUE,"Entire rental unit","within an hour",5,4.4,189,4.8,4.6,1.5,2000
"18486","100%",FALSE,"Entire loft","within an hour",0,4.75,358,4.83,4.71,2.5,4000
"18487","100%",TRUE,"Entire condo","within an hour",4,4.75,340,5,4.75,2.5,1200
"18488","N/A",TRUE,"Private room in home","N/A",0,4.75,270,4.83,4.71,1,4500
"18489","99%",TRUE,"Entire condo","within an hour",22,4.77,52,4.86,4.77,1,580
"18490","100%",TRUE,"Entire vacation home","within an hour",22,4.95,329,5,4.91,2,2999
"18491","99%",TRUE,"Private room in rental unit","within an hour",6,4.67,360,4,3.33,1,600
"18492","100%",TRUE,"Private room in rental unit","within an hour",2,5,364,5,5,1,880
"18493","100%",TRUE,"Private room in casa particular","within an hour",11,4.82,333,4.36,4.73,1,220
"18494","100%",TRUE,"Private room in guesthouse","within an hour",16,4.88,352,4.75,4.75,1,550
"18495","96%",TRUE,"Private room in condo","within a day",6,5,365,5,5,1,1343
"18496","100%",TRUE,"Entire condo","within an hour",24,4.92,257,4.96,4.96,1,1425
"18497","100%",TRUE,"Entire serviced apartment","within an hour",10,4.8,351,5,4.9,2.5,1171
"18498","100%",TRUE,"Entire rental unit","within an hour",17,5,0,4.94,5,2,690
"18499","100%",TRUE,"Private room in home","within an hour",3,5,87,5,5,1,414
"18500","96%",TRUE,"Entire condo","within an hour",22,5,65,4.91,4.95,1,663
"18501","100%",TRUE,"Entire condo","within an hour",35,4.86,354,4.97,4.91,1,2944
"18502","88%",TRUE,"Entire rental unit","within an hour",15,4.6,355,5,4.47,1,857
"18503","100%",TRUE,"Entire condo","within an hour",31,4.97,350,4.97,4.94,1,1700
"18504","99%",TRUE,"Room in boutique hotel","within an hour",4,4.75,365,4.75,4,1,1695
"18505","94%",TRUE,"Private room in rental unit","within an hour",16,4.81,332,4.81,4.56,1,240
"18506","100%",TRUE,"Entire condo","within an hour",15,4.53,336,4.93,4.4,1,1152
"18507","99%",TRUE,"Room in boutique hotel","within an hour",2,5,364,5,5,1,1891
"18508","100%",TRUE,"Entire rental unit","within an hour",7,4.86,143,4.71,4.86,1,600
"18509","78%",TRUE,"Entire rental unit","within an hour",4,4.75,44,5,5,1,1725
"18510","100%",FALSE,"Room in hotel","N/A",1,5,81,5,5,1,950
"18511","100%",TRUE,"Entire loft","N/A",10,5,0,5,4.9,1.5,3785
"18512","71%",TRUE,"Private room in condo","within a day",5,5,337,5,5,1,286
"18513","80%",TRUE,"Private room in rental unit","within a few hours",1,5,300,5,5,1,500
"18514","100%",TRUE,"Entire loft","within an hour",22,4.91,349,5,4.91,1,1270
"18515","100%",TRUE,"Private room in home","within an hour",7,4.86,155,5,5,1,500
"18516","90%",TRUE,"Private room in rental unit","within an hour",1,5,127,5,5,1,480
"18517","100%",TRUE,"Entire condo","within an hour",20,4.85,329,4.95,4.9,1,932
"18518","100%",TRUE,"Private room in casa particular","within an hour",5,5,73,5,5,1,390
"18519","100%",TRUE,"Entire guest suite","within an hour",33,4.94,358,4.76,4.82,1,399
"18520","100%",TRUE,"Private room in casa particular","within an hour",4,4.5,85,3.75,4,1,310
"18521","100%",TRUE,"Private room in casa particular","within an hour",0,4.75,116,4.83,4.71,1,370
"18522","98%",TRUE,"Private room in condo","within an hour",1,5,361,5,5,1,600
"18523","98%",TRUE,"Private room in condo","within an hour",2,5,343,5,4.5,1,600
"18524","100%",TRUE,"Private room in vacation home","within a few hours",0,4.75,365,4.83,4.71,1,800
"18525","100%",TRUE,"Entire rental unit","within an hour",2,5,365,5,4.5,1,1071
"18526","99%",TRUE,"Room in aparthotel","within an hour",3,5,364,5,4.33,1,2255
"18527","100%",TRUE,"Private room in rental unit","within an hour",54,4.5,78,4.87,4.5,1,450
"18528","98%",TRUE,"Private room in condo","within an hour",15,5,363,5,5,1,480
"18529","97%",TRUE,"Entire serviced apartment","within an hour",12,4.5,341,4.67,4.33,1,1485
"18530","92%",TRUE,"Private room in home","within an hour",7,4.86,363,5,4.71,1,289
"18531","100%",TRUE,"Private room in casa particular","within an hour",3,5,361,5,4,1,1000
"18532","92%",TRUE,"Private room in home","within an hour",16,4.44,357,5,4.5,1,336
"18533","100%",TRUE,"Entire loft","within an hour",46,4.72,360,4.41,4.52,1,991
"18534","100%",FALSE,"Room in hotel","N/A",3,5,82,5,4.33,1,950
"18535","99%",TRUE,"Entire rental unit","within an hour",9,4.89,306,5,4.33,1,1206
"18536","99%",TRUE,"Private room in rental unit","within an hour",11,4.27,298,4.73,4.36,1,450
"18537","100%",FALSE,"Entire townhouse","within an hour",8,4.63,361,4.75,4.38,3,2414
"18538","100%",TRUE,"Entire rental unit","within a few hours",12,4.67,357,4.92,4.5,3,2500
"18539","99%",TRUE,"Entire serviced apartment","within an hour",15,5,358,4.67,4.87,1.5,1577
"18540","100%",TRUE,"Room in boutique hotel","within an hour",39,5,66,4.87,4.95,1,1083
"18541","100%",TRUE,"Entire condo","within an hour",16,4.88,360,4.56,4.63,1,2207
"18542","100%",TRUE,"Entire loft","within an hour",43,4.95,79,4.93,4.79,1,907
"18543","100%",FALSE,"Room in hotel","N/A",0,4.75,81,4.83,4.71,1,1399
"18544","100%",TRUE,"Private room in condo","within an hour",25,4.92,349,4.96,4.8,1,664
"18545","100%",TRUE,"Entire loft","within an hour",56,4.98,61,4.95,4.93,1,914
"18546","100%",TRUE,"Entire loft","within an hour",35,4.83,83,4.94,4.69,1,914
"18547","100%",TRUE,"Entire loft","within an hour",37,4.97,86,4.95,4.89,1,913
"18548","100%",TRUE,"Entire vacation home","within an hour",6,4.67,365,5,5,1,800
"18549","71%",TRUE,"Private room in condo","within a day",7,4.43,337,4.29,4.29,1,286
"18550","94%",TRUE,"Private room in serviced apartment","within a day",0,4.75,302,4.83,4.71,1,250
"18551","100%",FALSE,"Private room in rental unit","a few days or more",0,4.75,365,4.83,4.71,1,600
"18552","100%",TRUE,"Entire loft","within an hour",45,4.96,79,4.91,4.8,1,1179
