,Unnamed: 0.1,number_of_reviews,review_scores_cleanliness,availability_365,review_scores_location,review_scores_value,bathrooms_text,price,Unnamed: 0,host_acceptance_rate,host_identity_verified,property_type,host_response_time
50,50,20.2,4.88,365,4.89,4.84,1.0,900.0,51,98%,True,Entire rental unit,within an hour
53,53,31.0,4.94,332,4.97,4.97,1.0,1006.0,54,87%,True,Room in serviced apartment,within an hour
54,54,20.2,4.91,326,4.9,4.86,1.0,1880.0,55,100%,True,Entire loft,within an hour
55,55,49.0,4.92,350,5.0,4.9,1.0,908.0,56,87%,True,Room in serviced apartment,within an hour
56,56,23.0,4.91,272,4.96,4.83,1.0,908.0,57,87%,True,Entire serviced apartment,within an hour
57,57,20.0,4.8,365,4.68,4.8,1.0,591.0,58,100%,True,Private room in rental unit,within an hour
58,58,20.2,4.89,194,4.78,4.91,1.5,3014.0,59,100%,True,Entire home,within an hour
62,62,22.0,4.95,356,4.95,4.95,1.0,908.0,63,87%,True,Room in serviced apartment,within an hour
65,65,54.0,4.94,330,4.92,4.89,1.0,1532.0,66,91%,True,Entire rental unit,within an hour
66,66,7.0,5.0,287,5.0,4.86,1.0,1062.7,67,86%,True,Room in serviced apartment,within an hour
67,67,20.2,4.65,334,4.95,4.7,1.0,726.0,68,100%,True,Entire guest suite,within an hour
69,69,20.2,4.87,336,4.94,4.77,1.0,699.0,70,92%,True,Private room in rental unit,within an hour
72,72,20.2,4.71,188,4.9,4.73,1.0,796.0,73,100%,True,Entire serviced apartment,within an hour
74,74,20.2,4.92,312,4.93,4.79,1.0,1556.0,75,100%,True,Tiny home,within an hour
75,75,46.0,4.73,167,4.9,4.73,2.0,545.0,76,100%,True,Entire rental unit,within an hour
77,77,20.2,4.82,288,4.93,4.88,1.5,1448.0,78,100%,True,Entire loft,within an hour
78,78,20.2,4.83,120,4.74,4.84,1.0,327.0,79,100%,True,Private room in home,within an hour
79,79,20.2,4.92,313,4.96,4.87,1.0,1362.0,80,100%,True,Entire condo,within an hour
80,80,71.0,4.96,179,4.97,4.91,2.5,1949.0,81,100%,True,Entire home,within an hour
81,81,20.2,4.72,365,4.87,4.75,1.0,713.0,82,93%,True,Private room in rental unit,within an hour
82,82,20.0,5.0,331,4.95,4.68,1.5,1062.7,83,71%,True,Entire home,within an hour
83,83,51.0,4.9,253,4.94,4.86,1.0,327.0,84,100%,True,Private room in home,within an hour
84,84,20.2,4.8,90,4.89,4.81,1.0,529.0,85,100%,True,Private room in condo,within an hour
85,85,17.0,4.76,0,4.9,4.75,1.0,272.0,86,100%,True,Private room in home,within an hour
92,92,35.0,4.91,344,4.94,4.88,2.0,1452.0,93,99%,True,Entire rental unit,within an hour
94,94,20.2,4.88,162,4.99,4.87,1.0,1400.0,95,100%,True,Entire rental unit,within an hour
95,95,20.2,4.51,142,4.76,4.47,1.0,615.0,96,99%,True,Entire loft,within an hour
97,97,37.0,4.84,362,4.89,4.89,1.0,450.0,98,92%,True,Private room in rental unit,within an hour
102,102,16.0,4.94,363,4.94,4.69,1.0,295.0,103,85%,True,Private room in rental unit,within an hour
103,103,17.0,4.76,207,4.88,4.35,1.0,1180.0,104,100%,True,Entire rental unit,within an hour
105,105,24.0,4.83,360,4.75,4.71,1.0,1797.0,106,99%,True,Entire rental unit,within an hour
